,Unnamed: 0_x,pre,post,jsa_adj,n2w_adj,conserved_x,average_size_x,Unnamed: 0_y,synaptic_weight,conserved_y,average_size_y,dummy_size,jsa_adj-s,n2w_adj-s,ave_scaled_adjacency,pre_brittin,post_brittin,pre_moyle,post_moyle,brittin_strata,moyle_strata,brittin_bool_1,brittin_bool_2
80,80,I5,MCR,7429.0,0.0,1,7429.0,37.0,3.5,1.0,3.5,1,0.3456568097120238,-0.6752466148955489,-0.16479490259176258,non-ganglia,non-ganglia,non-ganglia,non-ganglia,0,0,1,0
81,81,I5,MI,24728.0,0.0,1,24728.0,38.0,7.5,1.0,7.5,1,2.8049424248124137,-0.6752466148955489,1.0648479049584325,non-ganglia,non-ganglia,non-ganglia,non-ganglia,0,0,1,0
82,82,I5,NSML,11223.0,0.0,1,11223.0,39.0,5.5,1.0,5.5,1,0.8850249595294051,-0.6752466148955489,0.10488917231692807,non-ganglia,non-ganglia,non-ganglia,non-ganglia,0,0,1,0
83,83,I5,NSMR,10360.0,0.0,1,10360.0,40.0,20.5,1.0,20.5,1,0.7623378975124309,-0.6752466148955489,0.04354564130844096,non-ganglia,non-ganglia,non-ganglia,non-ganglia,0,0,1,0
84,84,I6,M3L,2039.0,0.0,1,2039.0,0.0,0.0,0.0,0.0,0,-0.4206042149362854,-0.6752466148955489,-0.5479254149159172,non-ganglia,non-ganglia,non-ganglia,non-ganglia,0,0,1,0
85,85,I6,M4,11078.0,11659.0,2,11368.5,105.0,12.5,1.0,12.5,1,0.8644112584952669,2.038727656096671,1.451569457295969,non-ganglia,non-ganglia,non-ganglia,non-ganglia,0,0,1,0
86,86,I6,MCR,52.0,0.0,1,52.0,0.0,0.0,0.0,0.0,0,-0.7030830008316825,-0.6752466148955489,-0.6891648078636157,non-ganglia,non-ganglia,non-ganglia,non-ganglia,0,0,1,0
87,87,I6,NSML,11472.0,6540.0,2,9006.0,106.0,21.0,1.0,21.0,1,0.9204236599259596,0.8471302383756679,0.8837769491508138,non-ganglia,non-ganglia,non-ganglia,non-ganglia,0,0,1,0
88,88,I6,NSMR,12693.0,5182.0,2,8937.5,107.0,6.0,1.0,6.0,1,1.094005238978944,0.531015900953296,0.81251056996612,non-ganglia,non-ganglia,non-ganglia,non-ganglia,0,0,1,0
89,89,I6,M3R,0.0,112.0,1,112.0,0.0,0.0,0.0,0.0,0,-0.7104755005128908,-0.6491753293349409,-0.6798254149239158,non-ganglia,non-ganglia,non-ganglia,non-ganglia,0,0,1,0
90,90,M1,M4,2873.0,1903.0,2,2388.0,84.0,1.0,1.0,1.0,1,-0.3020398931261389,-0.23226753970057562,-0.2671537164133573,non-ganglia,non-ganglia,non-ganglia,non-ganglia,0,0,1,0
91,91,M1,MI,4889.0,6339.0,2,5614.0,86.0,14.5,1.0,14.5,1,-0.015438367023914136,0.800341591967791,0.39245161247193844,non-ganglia,non-ganglia,non-ganglia,non-ganglia,0,0,1,0
92,92,M1,NSML,816.0,554.0,2,685.0,87.0,5.0,1.0,5.0,1,-0.5944701209000854,-0.5462868631046844,-0.5703784920023849,non-ganglia,non-ganglia,non-ganglia,non-ganglia,0,0,1,0
93,93,M2L,M2R,3196.0,96.0,2,1646.0,41.0,1.0,1.0,1.0,1,-0.2561210970294035,-0.6528997987007421,-0.4545104478650728,non-ganglia,non-ganglia,non-ganglia,non-ganglia,0,0,1,0
94,94,M2L,M3L,9633.0,8784.0,2,9208.5,42.0,3.0,1.0,3.0,1,0.6589850654309243,1.369487066929278,1.014236066180101,non-ganglia,non-ganglia,non-ganglia,non-ganglia,0,0,1,0
95,95,M2L,M3R,1289.0,24.0,2,656.5,43.0,0.5,1.0,0.5,1,-0.5272268064921726,-0.6696599108468473,-0.5984433586695099,non-ganglia,non-ganglia,non-ganglia,non-ganglia,0,0,1,0
96,96,M2L,M4,1456.0,374.0,2,915.0,44.0,1.0,1.0,1.0,1,-0.5034855094390618,-0.5881871434699473,-0.5458363264545045,non-ganglia,non-ganglia,non-ganglia,non-ganglia,0,0,1,0
97,97,M2L,MCL,3372.0,2072.0,2,2722.0,0.0,0.0,0.0,0.0,0,-0.23110032887762194,-0.19292783202430105,-0.21201408045096148,non-ganglia,non-ganglia,non-ganglia,non-ganglia,0,0,1,0
98,98,M2L,MI,1144.0,621.0,2,882.5,45.0,3.5,1.0,3.5,1,-0.5478405075263109,-0.5306906476353922,-0.5392655775808515,non-ganglia,non-ganglia,non-ganglia,non-ganglia,0,0,1,0
99,99,M2L,NSML,7980.0,6305.0,2,7142.5,0.0,0.0,0.0,0.0,0,0.4239888736417489,0.7924270945654636,0.6082079841036062,non-ganglia,non-ganglia,non-ganglia,non-ganglia,0,0,1,0
100,100,M3L,M3R,1584.0,423.0,2,1003.5,46.0,1.0,1.0,1.0,1,-0.48528858714685696,-0.5767809560371813,-0.5310347715920192,non-ganglia,non-ganglia,non-ganglia,non-ganglia,0,0,1,0
