,pre,post,cel_jsh_chemical.csv' with 87 nodes and 918 edges_weight,cel_n2u_chemical.csv' with 86 nodes and 1322 edges_weight,n930_head1.csv' with 89 nodes and 901 edges_weight,witvliet_2020_1_L1_chem.csv' with 76 nodes and 389 edges_weight,witvliet_2020_2_L1_chem.csv' with 77 nodes and 466 edges_weight,witvliet_2020_3_L1_chem.csv' with 77 nodes and 487 edges_weight,witvliet_2020_4_L1_chem.csv' with 81 nodes and 529 edges_weight,witvliet_2020_5_L2_chem.csv' with 84 nodes and 726 edges_weight,witvliet_2020_6_L3_chem.csv' with 85 nodes and 706 edges_weight,witvliet_2020_7_ad_chem.csv' with 88 nodes and 1056 edges_weight,witvliet_2020_8_ad_chem.csv' with 88 nodes and 1037 edges_weight,conserved,average_size
1599,AVF,ALM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1,2.0
1600,AVF,ASH,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2,1.0
1601,AVF,BDU,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,4.0,4,2.0
1602,AVF,CEPsh,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1,2.0
1603,AVF,PVQ,3.0,2.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,1.0,4.0,5,3.6
1604,AVF,RIF,5.0,2.0,33.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,5.0,6,8.0
1605,AVF,RMG,4.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3,2.0
1606,AVF,AIA,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3,1.0
1607,AVF,AIM,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3,1.3333333333333333
1608,AVF,AVJ,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,3,2.0
1609,AVF,HSN,1.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,9.0,4,6.0
1610,AVF,RMDD,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1.0
1611,AVF,SMB,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2,1.0
1612,AVF,ADA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1,1.0
1613,AVF,AQR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1,1.0
1614,AVF,AVE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1,1.0
1615,AVF,AVM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1,1.0
1616,AVF,AWA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1,1.0
1617,AVF,AWB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1,1.0
1618,AVF,DVA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,2,2.0
1619,AVF,PVN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,2.0,2,4.0
1620,AVF,SIA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1,1.0
1621,AVF,SMD,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1,1.0
1622,AVF,ASJ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1,2.0
1623,AVF,ASK,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2,1.5
1624,AVF,AVA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1,2.0
1625,AVF,AVH,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2,1.5
1626,AVF,AVK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1,1.0
1627,AVF,RID,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1,1.0
1628,AVF,URA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1,1.0
1629,AVF,ADE,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,2.0
1630,AVF,unk,2.0,0.0,88.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,45.0
1631,AVF,AVD,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,4.0
1632,AVF,OLQ,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,7.0
1633,AVF,RIM,0.0,0.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,18.0
1634,AWB,ADF,37.0,32.0,34.0,3.0,3.0,6.0,12.0,12.0,17.0,23.0,21.0,11,18.181818181818183
1635,AWB,AIY,8.0,2.0,12.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,6,4.166666666666667
1636,AWB,AIZ,12.0,23.0,14.0,3.0,4.0,5.0,4.0,12.0,15.0,13.0,14.0,11,10.818181818181818
1637,AWB,ASH,0.0,4.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,1.0,5,1.8
1638,AWB,AUA,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,2.0,5,1.2
1639,AWB,RIA,6.0,13.0,36.0,0.0,0.0,0.0,1.0,1.0,3.0,3.0,2.0,8,8.125
1640,AWB,RIF,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2,1.0
1641,AWB,RIG,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,2.0,4.0,5,2.4
1642,AWB,SMB,15.0,5.0,3.0,0.0,0.0,1.0,2.0,2.0,3.0,3.0,3.0,9,4.111111111111111
1643,AWB,AIA,3.0,4.0,0.0,1.0,2.0,0.0,0.0,1.0,0.0,1.0,5.0,7,2.4285714285714284
1644,AWB,ASE,1.0,2.0,0.0,1.0,0.0,0.0,1.0,2.0,0.0,1.0,0.0,6,1.3333333333333333
1645,AWB,AVH,1.0,2.0,0.0,2.0,1.0,0.0,4.0,2.0,0.0,0.0,3.0,7,2.142857142857143
1646,AWB,RIB,6.0,0.0,14.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,4,5.5
1647,AWB,RIR,2.0,7.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,2.0,4,3.5
1648,AWB,URX,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,2,1.5
1649,AWB,AWA,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,2.0,4,1.75
1650,AWB,AIB,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1.0
1651,AWB,AIM,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2,1.0
1652,AWB,ASG,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1.0
1653,AWB,AVB,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,4.0
