,pre,post,witvliet_dataset2_vol.csv' with 80 nodes and 1702 edges_weight,witvliet_dataset4_vol.csv' with 87 nodes and 2025 edges_weight,witvliet_dataset3_vol.csv' with 83 nodes and 1737 edges_weight,witvliet_dataset1_vol.csv' with 82 nodes and 1765 edges_weight,witvliet_dataset6_vol.csv' with 85 nodes and 1992 edges_weight,cel_n2u_adjacency.csv' with 89 nodes and 2150 edges_weight,cel_jsh_nr_adj.csv' with 89 nodes and 2150 edges_weight,witvliet_dataset5_vol.csv' with 88 nodes and 2163 edges_weight,witvliet_dataset8_vol.csv' with 88 nodes and 2266 edges_weight,conserved,average_size,elegans_sum,pristi_sum,pristi_specific,elegans_specific,in_pristi
145,ADE,AVM,0.0,0.0,0.0,0.0,806276.0,0.0,0.0,1147560.0,252000.0,3,735278.6666666666,3,0.0,no,no,no
146,ADE,BWM,0.0,0.0,0.0,0.0,1151629.0,0.0,0.0,581640.0,152880.0,3,628716.3333333334,3,0.0,no,no,no
147,ADE,CEPD,0.0,0.0,0.0,0.0,137871.0,4110.0,4110.0,237480.0,681840.0,5,213082.2,5,0.0,no,no,no
148,ADE,CEPV,0.0,0.0,0.0,0.0,496066.0,1734.0,1734.0,157320.0,475200.0,5,226410.8,5,0.0,no,no,no
149,ADE,RMDD,0.0,0.0,0.0,0.0,298045.0,1329.0,1329.0,36000.0,916320.0,5,250604.6,5,0.0,no,no,no
150,ADE,RMDV,0.0,0.0,0.0,0.0,2027.0,0.0,0.0,0.0,0.0,1,2027.0,1,0.0,no,no,no
151,ADE,RME,0.0,0.0,0.0,0.0,1890999.0,19010.0,19010.0,135360.0,966960.0,5,606267.8,5,0.0,no,no,no
152,ADE,RMF,0.0,0.0,0.0,0.0,1484143.0,4464.0,4464.0,1795560.0,3747360.0,5,1407198.2,5,0.0,no,no,no
153,ADE,AIM,0.0,0.0,0.0,0.0,0.0,130.0,130.0,0.0,0.0,2,130.0,2,0.0,no,no,no
154,ADE,ASE,0.0,0.0,0.0,0.0,0.0,371.0,371.0,0.0,0.0,2,371.0,2,0.0,no,no,no
155,ADE,PVN,0.0,0.0,0.0,0.0,0.0,4267.0,4267.0,0.0,288240.0,3,98924.66666666667,3,0.0,no,no,no
156,ADE,URX,0.0,0.0,0.0,0.0,0.0,3846.0,3846.0,103560.0,33360.0,4,36153.0,4,0.0,no,no,no
157,ADE,VB01,0.0,0.0,0.0,0.0,0.0,11880.0,11880.0,0.0,0.0,2,11880.0,2,0.0,no,no,no
158,ADE,VB02,0.0,0.0,0.0,0.0,0.0,1188.0,1188.0,0.0,0.0,2,1188.0,2,0.0,no,no,no
159,ADE,AIY,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66240.0,1,66240.0,1,0.0,no,no,no
160,ADE,HSN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,577440.0,1,577440.0,1,0.0,no,no,no
