,pre,post,cel_jsh_chemical.csv' with 87 nodes and 742 edges_weight,cel_n2u_chemical.csv' with 86 nodes and 986 edges_weight,n930_head1.csv' with 89 nodes and 702 edges_weight,witvliet_2020_1_L1_chem.csv' with 76 nodes and 349 edges_weight,witvliet_2020_2_L1_chem.csv' with 77 nodes and 410 edges_weight,witvliet_2020_3_L1_chem.csv' with 77 nodes and 419 edges_weight,witvliet_2020_4_L1_chem.csv' with 81 nodes and 469 edges_weight,witvliet_2020_5_L2_chem.csv' with 84 nodes and 620 edges_weight,witvliet_2020_6_L3_chem.csv' with 85 nodes and 611 edges_weight,witvliet_2020_7_ad_chem.csv' with 88 nodes and 859 edges_weight,witvliet_2020_8_ad_chem.csv' with 88 nodes and 838 edges_weight,conserved,average_size
188,AIB,ASG,36.0,23.0,12.0,0.0,1.0,1.0,1.0,2.0,6.0,7.0,4.0,10,9.3
189,AIB,ASH,24.0,31.0,21.0,3.0,7.0,6.0,3.0,11.0,15.0,14.0,14.0,11,13.545454545454545
190,AIB,ASI,17.0,7.0,10.0,2.0,0.0,0.0,1.0,2.0,4.0,12.0,13.0,9,7.555555555555555
191,AIB,ASK,11.0,12.0,3.0,0.0,0.0,0.0,4.0,0.0,6.0,15.0,12.0,7,9.0
192,AIB,AVB,46.0,40.0,40.0,5.0,6.0,8.0,9.0,10.0,13.0,17.0,14.0,11,18.90909090909091
193,AIB,AWC,43.0,36.0,15.0,11.0,10.0,15.0,20.0,24.0,22.0,22.0,30.0,11,22.545454545454547
194,AIB,BAG,1.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,4.0,4.0,7,2.0
195,AIB,DVA,0.0,1.0,2.0,0.0,0.0,1.0,0.0,0.0,1.0,2.0,1.0,6,1.3333333333333333
196,AIB,DVC,21.0,6.0,9.0,1.0,3.0,2.0,7.0,7.0,7.0,17.0,12.0,11,8.363636363636363
197,AIB,FLP,8.0,10.0,50.0,0.0,0.0,0.0,0.0,1.0,2.0,10.0,2.0,7,11.857142857142858
198,AIB,PVT,5.0,16.0,11.0,1.0,0.0,3.0,2.0,5.0,6.0,9.0,8.0,10,6.6
199,AIB,RIB,41.0,38.0,4.0,6.0,8.0,9.0,12.0,17.0,13.0,26.0,32.0,11,18.727272727272727
200,AIB,RIC,15.0,5.0,18.0,0.0,0.0,1.0,0.0,1.0,3.0,7.0,4.0,8,6.75
201,AIB,RIG,5.0,12.0,0.0,1.0,3.0,2.0,5.0,3.0,2.0,7.0,12.0,10,5.2
202,AIB,RIM,149.0,154.0,129.0,15.0,22.0,25.0,24.0,32.0,46.0,73.0,60.0,11,66.27272727272727
